Distance (Km),Longitude,Latitude,HiRISE DTM Stamps (mean)
2.542,114.063,-56.66,2598.692
2.556,114.063,-56.66,2597.512
2.571,114.063,-56.661,2597.601
2.585,114.063,-56.661,2596.307
2.6,114.064,-56.661,2594.94
2.614,114.064,-56.661,2593.072
2.629,114.064,-56.662,2591.019
2.643,114.064,-56.662,2588.845
2.657,114.064,-56.662,2587.938
2.672,114.064,-56.662,2585.914
2.686,114.064,-56.663,2585.914
2.701,114.064,-56.663,2585.193
2.715,114.064,-56.663,2581.503
2.73,114.064,-56.663,2580.441
2.744,114.064,-56.663,2575.889
2.759,114.064,-56.664,2572.686
2.773,114.064,-56.664,2570.761
2.787,114.064,-56.664,2568.175
2.802,114.064,-56.664,2564.726
2.816,114.064,-56.665,2562.912
2.831,114.064,-56.665,2562.428
2.845,114.064,-56.665,2559.932
2.86,114.064,-56.665,2557.285
2.874,114.064,-56.666,2555.028
2.889,114.064,-56.666,2553.221
2.903,114.065,-56.666,2549.473
2.917,114.065,-56.666,2547.208
2.932,114.065,-56.667,2544.357
2.946,114.065,-56.667,2541.198
2.961,114.065,-56.667,2537.98
2.975,114.065,-56.667,2533.854
2.99,114.065,-56.668,2533.854
3.004,114.065,-56.668,2529.395
3.018,114.065,-56.668,2526.785
3.033,114.065,-56.668,2522.005
0,114.056,-56.617,2746.887
0.014,114.056,-56.617,2745.371
0.029,114.056,-56.618,2743.678
0.043,114.056,-56.618,2743.114
0.058,114.056,-56.618,2741.003
0.072,114.056,-56.618,2739.658
0.087,114.056,-56.619,2739.658
0.101,114.056,-56.619,2738.445
0.116,114.056,-56.619,2734.503
0.13,114.056,-56.619,2716.763
0.145,114.056,-56.62,2701.754
0.159,114.056,-56.62,2683.87
0.174,114.056,-56.62,2667.892
0.188,114.056,-56.62,2652.23
0.203,114.056,-56.621,2643.358
0.217,114.056,-56.621,2636.314
0.232,114.056,-56.621,2632.751
0.246,114.057,-56.621,2633.662
0.261,114.057,-56.622,2632.478
0.275,114.057,-56.622,2635.935
0.29,114.057,-56.622,2642.545
0.304,114.057,-56.622,2648.94
0.319,114.057,-56.623,2654.691
0.333,114.057,-56.623,2659.726
0.347,114.057,-56.623,2662.213
0.362,114.057,-56.623,2662
0.376,114.057,-56.624,2664.254
