Distance (Km),Longitude,Latitude,HiRISE DTM Stamps (2) (mean)
0,109.403,-55.141,2071.328
0.014,109.403,-55.142,2071.328
0.029,109.403,-55.142,2073.584
0.043,109.403,-55.142,2071.183
0.058,109.403,-55.142,2064.766
0.072,109.403,-55.143,2065.055
0.087,109.403,-55.143,2062.657
0.101,109.403,-55.143,2060.476
0.116,109.403,-55.143,2058.332
0.13,109.403,-55.143,2044.552
0.144,109.404,-55.144,2028.061
0.159,109.404,-55.144,2011.767
0.173,109.404,-55.144,1994.191
0.188,109.404,-55.144,1994.191
0.202,109.404,-55.145,1976.884
0.217,109.404,-55.145,1964.111
0.231,109.404,-55.145,1961.089
0.246,109.404,-55.145,1956.056
0.26,109.404,-55.146,1952.405
0.274,109.404,-55.146,1953.116
0.289,109.404,-55.146,1945.039
0.303,109.404,-55.146,1940.948
0.318,109.404,-55.147,1940.334
0.332,109.404,-55.147,1940.334
0.347,109.405,-55.147,1938.371
0.361,109.405,-55.147,1934.843
0.376,109.405,-55.148,1941.381
0.39,109.405,-55.148,1940.54
0.404,109.405,-55.148,1933.742
0.419,109.405,-55.148,1940.559
0.433,109.405,-55.149,1932.829
0.448,109.405,-55.149,1929.644
0.462,109.405,-55.149,1925.627
0.477,109.405,-55.149,1924.006
0.491,109.405,-55.15,1924.006
0.506,109.405,-55.15,1919.981
0.52,109.405,-55.15,1920.049
0.534,109.405,-55.15,1917.899
0.549,109.405,-55.15,1915.037
0.563,109.406,-55.151,1911.008
0.578,109.406,-55.151,1911.703
0.592,109.406,-55.151,1911.838
0.607,109.406,-55.151,1910.346
0.621,109.406,-55.152,1908.967
0.636,109.406,-55.152,1908.967
0.65,109.406,-55.152,1907.863
0.664,109.406,-55.152,1911.273
0.679,109.406,-55.153,1911.781
0.693,109.406,-55.153,1913.428
0.708,109.406,-55.153,1916.648
0.722,109.406,-55.153,1917.984
0.737,109.406,-55.154,1914.296
0.751,109.406,-55.154,1911.716
0.766,109.407,-55.154,1909.725
0.78,109.407,-55.154,1909.725
0.794,109.407,-55.155,1904.337
0.809,109.407,-55.155,1897.819
0.823,109.407,-55.155,1891.117
0.838,109.407,-55.155,1884.354
0.852,109.407,-55.156,1877.688
0.867,109.407,-55.156,1872.38
0.881,109.407,-55.156,1865.447
0.896,109.407,-55.156,1859.617
0.91,109.407,-55.157,1858.88
0.924,109.407,-55.157,1856.039
0.939,109.407,-55.157,1856.039
0.953,109.407,-55.157,1853.765
0.968,109.408,-55.157,1851.779
0.982,109.408,-55.158,1851.572
