Distance (Km),Longitude,Latitude,HiRISE DTM Stamps (4) (mean)
0.914,96.307,-56.887,1555.366
0.929,96.307,-56.888,1555.854
0.943,96.307,-56.888,1555.854
0.958,96.307,-56.888,1556.342
0.972,96.307,-56.888,1558.026
0.987,96.307,-56.889,1561.197
1.002,96.307,-56.889,1564.763
1.016,96.307,-56.889,1572.396
1.031,96.307,-56.889,1576.415
1.045,96.307,-56.89,1581.207
1.06,96.307,-56.89,1586.692
1.074,96.307,-56.89,1590.572
1.089,96.307,-56.89,1590.635
1.103,96.307,-56.89,1593.839
1.118,96.307,-56.891,1598.228
1.132,96.307,-56.891,1603.072
1.147,96.307,-56.891,1608.612
1.161,96.307,-56.891,1608.612
1.176,96.307,-56.892,1617.841
1.19,96.308,-56.892,1619.832
1.205,96.308,-56.892,1623.781
1.219,96.308,-56.892,1623.781
1.234,96.308,-56.893,1618.141
1.248,96.308,-56.893,1616.149
1.263,96.308,-56.893,1616.149
1.277,96.308,-56.893,1622.5
1.292,96.308,-56.894,1615.565
1.306,96.308,-56.894,1622.983
1.321,96.308,-56.894,1622.983
1.335,96.308,-56.894,1626.198
1.35,96.308,-56.895,1627.941
1.364,96.308,-56.895,1630.163
1.379,96.308,-56.895,1632.658
1.393,96.308,-56.895,1635.464
1.408,96.308,-56.896,1638.099
1.422,96.308,-56.896,1638.099
1.437,96.308,-56.896,1640.934
1.451,96.308,-56.896,1639.237
1.466,96.308,-56.897,1646.94
1.481,96.308,-56.897,1649.496
1.495,96.309,-56.897,1652.329
1.51,96.309,-56.897,1652.001
1.524,96.309,-56.898,1651.429
1.539,96.309,-56.898,1650.554
1.553,96.309,-56.898,1652.76
1.568,96.309,-56.898,1651.889
1.582,96.309,-56.899,1651.889
1.597,96.309,-56.899,1650.867
1.611,96.309,-56.899,1650.166
1.626,96.309,-56.899,1649.254
0,96.304,-56.872,1688.068
0.014,96.304,-56.872,1688.068
0.029,96.304,-56.872,1687.568
0.043,96.304,-56.873,1686.927
0.058,96.304,-56.873,1688.607
0.072,96.304,-56.873,1688.109
0.087,96.304,-56.873,1685.377
0.101,96.304,-56.874,1684.454
0.116,96.304,-56.874,1676.515
0.13,96.304,-56.874,1659.046
0.145,96.304,-56.874,1647.621
0.159,96.304,-56.875,1638.791
0.174,96.305,-56.875,1638.791
0.188,96.305,-56.875,1629.518
0.203,96.305,-56.875,1614.341
0.217,96.305,-56.876,1598.07
