Distance (Km),Longitude,Latitude,HiRISE DTM Stamps (5) (mean)
0,103.108,-56.156,2383.955
0.014,103.108,-56.156,2381.634
0.029,103.108,-56.156,2380.261
0.043,103.108,-56.156,2377.969
0.058,103.108,-56.157,2375.655
0.072,103.108,-56.157,2373.977
0.087,103.108,-56.157,2374.147
0.101,103.108,-56.157,2372.169
0.116,103.109,-56.158,2368.752
0.13,103.109,-56.158,2362.529
0.145,103.109,-56.158,2355.109
0.159,103.109,-56.158,2350.394
0.174,103.109,-56.159,2345.659
0.188,103.109,-56.159,2341.104
0.202,103.109,-56.159,2336.71
0.217,103.109,-56.159,2330.95
0.231,103.109,-56.16,2330.95
0.246,103.109,-56.16,2324.541
0.26,103.109,-56.16,2319.408
0.275,103.109,-56.16,2315.299
0.289,103.11,-56.16,2312.059
0.304,103.11,-56.161,2308.773
0.318,103.11,-56.161,2305.367
0.333,103.11,-56.161,2302.717
0.347,103.11,-56.161,2300.321
0.362,103.11,-56.162,2298.737
0.376,103.11,-56.162,2297.159
0.391,103.11,-56.162,2297.159
0.405,103.11,-56.162,2295.972
0.419,103.11,-56.163,2293.751
0.434,103.11,-56.163,2292.019
0.448,103.11,-56.163,2292.019
0.463,103.111,-56.163,2293.715
0.477,103.111,-56.164,2290.955
0.492,103.111,-56.164,2286.909
0.506,103.111,-56.164,2286.153
0.521,103.111,-56.164,2283.245
0.535,103.111,-56.165,2282.172
0.55,103.111,-56.165,2282.172
0.564,103.111,-56.165,2282.172
0.579,103.111,-56.165,2278.924
0.593,103.111,-56.166,2278.142
0.607,103.111,-56.166,2276.938
0.622,103.111,-56.166,2275.074
0.636,103.112,-56.166,2272.336
0.651,103.112,-56.166,2272.336
0.665,103.112,-56.167,2268.277
0.68,103.112,-56.167,2266.81
0.694,103.112,-56.167,2266.81
0.709,103.112,-56.167,2266.463
0.723,103.112,-56.168,2263.512
0.738,103.112,-56.168,2261.685
0.752,103.112,-56.168,2259.28
0.767,103.112,-56.168,2257.915
0.781,103.112,-56.169,2256.64
