Distance (Km),Longitude,Latitude,HiRISE DTM Stamps (mean)
2.541,113.997,-56.662,2441.135
2.556,113.997,-56.663,2441.135
2.57,113.997,-56.663,2439.831
2.584,113.997,-56.663,2437.633
2.599,113.997,-56.663,2436.301
2.613,113.997,-56.664,2434.618
2.628,113.997,-56.664,2433.028
2.642,113.997,-56.664,2431.043
2.657,113.997,-56.664,2429.393
2.671,113.997,-56.665,2427.746
2.686,113.997,-56.665,2425.389
2.7,113.998,-56.665,2425.389
2.714,113.998,-56.665,2423.909
2.729,113.998,-56.666,2422.573
2.743,113.998,-56.666,2420.853
2.758,113.998,-56.666,2419.257
2.772,113.998,-56.666,2417.571
2.787,113.998,-56.667,2415.697
2.801,113.998,-56.667,2413.929
2.815,113.998,-56.667,2412.373
2.83,113.998,-56.667,2410.531
2.844,113.998,-56.668,2409.133
2.859,113.998,-56.668,2409.133
2.873,113.998,-56.668,2407.213
2.888,113.998,-56.668,2404.521
2.902,113.998,-56.669,2403.439
2.917,113.998,-56.669,2401.38
2.931,113.998,-56.669,2399.745
2.945,113.998,-56.669,2398.084
2.96,113.998,-56.669,2396.625
2.974,113.998,-56.67,2394.861
2.989,113.998,-56.67,2393.127
3.003,113.998,-56.67,2393.127
3.018,113.999,-56.67,2391.556
3.032,113.999,-56.671,2389.654
3.046,113.999,-56.671,2387.679
0,113.99,-56.62,2701.57
0.014,113.99,-56.62,2700.028
0.029,113.99,-56.62,2698.456
0.043,113.99,-56.62,2698.456
0.058,113.99,-56.621,2695.339
0.072,113.991,-56.621,2693.832
0.087,113.991,-56.621,2692.23
0.101,113.991,-56.621,2692.23
0.116,113.991,-56.622,2690.715
0.13,113.991,-56.622,2688.907
0.145,113.991,-56.622,2687.498
0.159,113.991,-56.622,2685.82
0.174,113.991,-56.623,2684.202
0.188,113.991,-56.623,2682.651
0.203,113.991,-56.623,2680.909
0.217,113.991,-56.623,2681.105
0.232,113.991,-56.624,2677.284
0.246,113.991,-56.624,2677.284
0.26,113.991,-56.624,2661.371
0.275,113.991,-56.624,2644.16
0.289,113.991,-56.624,2630.325
0.304,113.991,-56.625,2615.755
0.318,113.991,-56.625,2601.493
0.333,113.991,-56.625,2601.493
0.347,113.991,-56.625,2574.552
0.362,113.991,-56.626,2565.416
0.376,113.991,-56.626,2559.429
0.391,113.991,-56.626,2554.874
0.405,113.992,-56.626,2554.874
0.42,113.992,-56.627,2551.969
0.434,113.992,-56.627,2550.655
0.449,113.992,-56.627,2554.724
0.463,113.992,-56.627,2553.141
0.478,113.992,-56.628,2556.784
0.492,113.992,-56.628,2560.885
0.507,113.992,-56.628,2564.693
0.521,113.992,-56.628,2572.719
0.535,113.992,-56.629,2573.519
0.55,113.992,-56.629,2576.839
0.564,113.992,-56.629,2577.842
0.579,113.992,-56.629,2584.337
0.593,113.992,-56.63,2586.393
0.608,113.992,-56.63,2589.01
0.622,113.992,-56.63,2595.418
0.637,113.992,-56.63,2595.246
0.651,113.992,-56.631,2597.561
0.666,113.992,-56.631,2599.314
0.68,113.992,-56.631,2599.028
0.695,113.992,-56.631,2590.651
0.709,113.992,-56.632,2590.651
0.724,113.992,-56.632,2589.446
0.738,113.993,-56.632,2584.837
0.753,113.993,-56.632,2580.206
0.767,113.993,-56.633,2575.519
0.781,113.993,-56.633,2571.562
0.796,113.993,-56.633,2565.39
0.81,113.993,-56.633,2555.783
0.825,113.993,-56.634,2553.977
0.839,113.993,-56.634,2543.791
0.854,113.993,-56.634,2542.591
0.868,113.993,-56.634,2541.181
0.883,113.993,-56.634,2534.987
0.897,113.993,-56.635,2529.517
0.912,113.993,-56.635,2519.176
0.926,113.993,-56.635,2517.313
0.941,113.993,-56.635,2511.473
