Site ID,Latitude,Longitude,Ice exposure?,D_icy,D_nonicy,Reference HiRISE image,CRISM ice?,Notes
Site P21,-41.26,287.67,Possible,x,10.75,ESP_063406_1385,x,Ejecta is bright but mostly relatively-yellow. 
Site P22,40.32,221.22,Possible,x,7.25;5.75;5,ESP_011295_2205,n,Slight color anomaly but feature has not faded significantly over five MY. 
Site P23,39.38,149.37,Possible,x,22,ESP_016203_2195,x,"Some relatively-blue material, but only partially faded over three MY despite low latitude. "
Site P24,43.78,203.31,Possible,x,5.25;4,ESP_016557_2240,n,Crater walls slightly bright/blue but remain so after five MY. 
Site P25,37.34,182.19,Possible,x,8,ESP_019195_2175,n,Faint color anomaly which remains bright after five MY. Unlikely to be ice. 
Site P26,42.77,204.27,Possible,x,5,ESP_036666_2230,n,Minor color feature. 
Site P27,48.29,221.93,Possible,x,5.5,ESP_045448_2285,x,Minor color feature. 
Site P28,-81.49,41.35,Probable,x,18,ESP_057152_0985,x,Impacted seasonal frost on south polar layered deposits. Small color feature in ESP_057574_0985 is likely ice. Irregular rim shape.
Site 1,46.35,176.89,Yes,4;3.75,4.5,PSP_009978_2265,n,x
Site 2,43.3,164.21,Yes,6,2.5,PSP_010084_2235,n,x
Site 3,55.58,150.6,Yes,8;4.5;3.5;3;3;3;1,x,PSP_010625_2360,y,x
Site 4,45.07,164.7,Yes,4.5,4,PSP_010585_2255,n,x
Site 5,46.18,188.5,Yes,12,x,PSP_010861_2265,n,x
Site 6,50.67,278.4,Yes (CTX),5.75,x,ESP_015908_2310,n,x
Site 7,44.22,164.2,Yes,24;10.75,7;6;6;5.5,ESP_016954_2245,y,x
Site 8,44.35,152.92,Yes,6.75;4.25,x,ESP_016994_2245,n,x
Site 9,63.92,44.88,Yes,20,x,ESP_017868_2440,y,x
Site 10,53.27,46.26,Yes,9,x,ESP_017789_2335,n,x
Site 11,50.51,265.2,Yes,14.75;7;3.75,5,ESP_017926_2310,n,x
Site 12,64.29,231.5,Yes,4,x,ESP_018125_2445,n,x
Site 13,60.99,238.72,Yes,4.5;3.25;3.25,x,ESP_018573_2415,n,x
Site 14,43.9,204.35,Yes,12.75,x,ESP_025840_2240,y,x
Site 15,50.78,208.76,Yes,5.75,x,ESP_025642_2310,n,x
Site 16,50.37,219.71,Yes,5.5;4,2,ESP_026802_2305,n,x
Site 17,52.01,214.7,Yes,8;5.75;3.75,4.75;3.5,ESP_027000_2325,n,x
Site 18,39.11,190.25,Yes,12;11.5;8.5;8;7.5,8.5;6.25;5,ESP_029256_2195,n,x
Site 19,-71.51,191.53,Yes,7,x,ESP_032118_1085,x,x
Site 20,-73.69,250.62,Yes,8.5;5;4.5;2.25,x,ESP_032340_1060,y,Ejecta relatively-yellow initially but blue/white later in fading and shrinking. 
Site 21,68.54,358.53,Yes,4.25;2.5,x,ESP_033825_2490,x,x
Site 22,65.06,220.5,Yes,4.5;3.75;3.25,x,ESP_036085_2455,x,x
Site 23,57.33,234.2,Yes,2.75;1.75,1.75,ESP_036467_2375,x,x
Site 24,69.47,80.44,Yes,7.5,x,ESP_036657_2495,n,x
Site 25,74.64,49.56,Yes,8,x,ESP_036658_2550,x,x
Site 26,55.62,241.24,Yes,10,x,ESP_036836_2360,n,x
Site 27,63.68,251.45,Yes,Uncertain,x,ESP_037086_2440,x,x
Site 28,-62.54,76,Yes (CTX),4.5,x,ESP_037502_1170,x,x
Site 29,-57.36,125.17,Yes,5.75;4.25;2.5,x,ESP_039861_1225,n,x
Site 30,-65,329.84,Yes,6,x,ESP_039946_1150,x,x
Site 31,42.58,189.02,Yes,6,2.5,ESP_043537_2230,x,x
Site 32,45.85,147.2,Yes,7.25;6.75,4.75,ESP_045754_2260,x,x
Site 33,58.97,58.58,Yes,3.25;2.75,2.75,ESP_045823_2390,x,x
Site 34,64.38,77.59,Yes,4.5;3.5,x,ESP_045875_2445,x,x
Site 35,63.95,282.39,Yes,5,x,ESP_045973_2440,x,x
Site 36,69.35,142.2,Yes,12,x,ESP_046189_2495,n,x
Site 37,41.46,48.76,Yes,48,x,ESP_046707_2220,x,x
Site 38,41.91,36.42,Yes,16,x,ESP_046747_2220,x,x
Site 39,-58.54,207.23,Yes,6;5.5;5.5,x,ESP_047005_1210,x,x
Site 40,-51.29,101.06,Yes,3.75,3,ESP_051070_1285,x,x
Site 41,-67.14,15.35,Yes,2,x,ESP_058735_1125,x,Slightly relatively-yellow but setting highly suggestive of ice. 
Site 42,-68.31,156.61,Yes,3.5,x,ESP_058453_1115,x,x
Site 43,-71.74,156.63,Yes,4,x,ESP_058809_1080,x,Slightly relatively-yellow but setting highly suggestive of ice. 
Site 44,-46.21,208.64,Yes,7;4.5,x,ESP_059453_1335,x,x
Site 45,52.95,50.87,Yes,7,x,ESP_033942_2335,n,x
Site 46,46.62,171.88,Yes,6,4,ESP_036443_2270 and ESP_036588_2270,x,x
Site 47,39.56,202.42,Yes,5.5,x,ESP_043853_2200,x,x
Site 48,47.43,112.01,Yes,8;6.75,7;6.25;4.25,ESP_063979_2280,x,x
