Distance (Km),Longitude,Latitude,HiRISE DTM Stamps (mean)
2.548,114.052,-56.661,2560.531
2.562,114.052,-56.661,2559.912
2.577,114.052,-56.661,2559.167
2.591,114.052,-56.661,2556.958
2.605,114.052,-56.662,2555.073
2.62,114.052,-56.662,2553.871
2.634,114.052,-56.662,2552.498
2.649,114.052,-56.662,2550.309
2.663,114.052,-56.663,2550.309
2.678,114.052,-56.663,2548.429
2.692,114.052,-56.663,2548.234
2.707,114.052,-56.663,2546.346
2.721,114.052,-56.664,2544.139
2.736,114.052,-56.664,2541.743
2.75,114.052,-56.664,2539.563
2.765,114.052,-56.664,2537.29
2.779,114.052,-56.664,2534.549
2.794,114.052,-56.665,2531.327
2.808,114.052,-56.665,2531.327
2.823,114.053,-56.665,2531.327
2.837,114.053,-56.665,2529.524
2.852,114.053,-56.666,2527.391
2.866,114.053,-56.666,2525.45
2.881,114.053,-56.666,2522.583
2.895,114.053,-56.666,2519.527
2.909,114.053,-56.667,2518.022
2.924,114.053,-56.667,2514.213
2.938,114.053,-56.667,2511.11
2.953,114.053,-56.667,2507.548
2.967,114.053,-56.668,2503.439
2.982,114.053,-56.668,2503.439
2.996,114.053,-56.668,2500.64
3.011,114.053,-56.668,2497.493
3.025,114.053,-56.669,2494.225
3.04,114.053,-56.669,2490.504
3.054,114.053,-56.669,2487.103
0,114.044,-56.617,2736.828
0.014,114.044,-56.618,2735.33
0.029,114.044,-56.618,2733.477
0.043,114.044,-56.618,2732.708
0.058,114.044,-56.618,2732.708
0.072,114.044,-56.619,2731.203
0.087,114.044,-56.619,2730.942
0.101,114.044,-56.619,2716.029
0.116,114.044,-56.619,2696.801
0.13,114.044,-56.62,2679.248
0.144,114.044,-56.62,2679.345
0.159,114.044,-56.62,2646.391
0.173,114.044,-56.62,2634.574
0.188,114.044,-56.621,2627.899
0.202,114.044,-56.621,2622.179
0.217,114.044,-56.621,2616.462
0.231,114.045,-56.621,2616.943
0.246,114.045,-56.622,2615.02
0.26,114.045,-56.622,2620.682
0.274,114.045,-56.622,2624.335
0.289,114.045,-56.622,2630.425
0.303,114.045,-56.623,2636.767
0.318,114.045,-56.623,2641.594
0.332,114.045,-56.623,2641.139
0.347,114.045,-56.623,2640.088
0.361,114.045,-56.624,2639.534
0.376,114.045,-56.624,2639.534
0.39,114.045,-56.624,2638.569
0.404,114.045,-56.624,2638.47
0.419,114.045,-56.625,2642.522
0.433,114.045,-56.625,2647.824
0.448,114.045,-56.625,2652.946
0.462,114.045,-56.625,2656.978
0.477,114.045,-56.625,2659.997
0.491,114.045,-56.626,2661.724
0.506,114.045,-56.626,2661.302
0.52,114.045,-56.626,2656.314
0.534,114.046,-56.626,2656.314
0.549,114.046,-56.627,2651.62
0.563,114.046,-56.627,2647.925
0.578,114.046,-56.627,2649.206
0.592,114.046,-56.627,2638.765
0.607,114.046,-56.628,2633.408
0.621,114.046,-56.628,2628.001
0.636,114.046,-56.628,2622.496
0.65,114.046,-56.628,2618.022
0.664,114.046,-56.629,2614.002
0.679,114.046,-56.629,2612.376
0.693,114.046,-56.629,2610.961
0.708,114.046,-56.629,2613.093
0.722,114.046,-56.63,2614.067
0.737,114.046,-56.63,2614.067
0.751,114.046,-56.63,2617.269
0.766,114.046,-56.63,2618.792
0.78,114.046,-56.631,2622.499
0.794,114.046,-56.631,2622.473
0.809,114.046,-56.631,2620.871
0.823,114.046,-56.631,2615.124
0.838,114.047,-56.632,2615.126
0.852,114.047,-56.632,2609.426
0.867,114.047,-56.632,2603.621
0.881,114.047,-56.632,2598.612
0.896,114.047,-56.633,2591.938
0.91,114.047,-56.633,2586.875
0.924,114.047,-56.633,2586.875
0.939,114.047,-56.633,2576.688
0.953,114.047,-56.633,2570.941
0.968,114.047,-56.634,2570.941
0.982,114.047,-56.634,2564.511
0.997,114.047,-56.634,2558.315
1.011,114.047,-56.634,2554.884
1.026,114.047,-56.635,2549.988
1.04,114.047,-56.635,2544.371
1.054,114.047,-56.635,2540.827
1.069,114.047,-56.635,2542.17
1.083,114.047,-56.636,2546.852
1.098,114.047,-56.636,2548.67
1.112,114.047,-56.636,2549.49
1.127,114.047,-56.636,2548.329
1.141,114.048,-56.637,2548.329
1.156,114.048,-56.637,2546.493
1.17,114.048,-56.637,2546.04
1.184,114.048,-56.637,2544.185
1.199,114.048,-56.638,2540.589
1.213,114.048,-56.638,2537.802
1.228,114.048,-56.638,2540.407
1.242,114.048,-56.638,2544.477
1.257,114.048,-56.639,2547.855
1.271,114.048,-56.639,2548.403
1.285,114.048,-56.639,2547.351
1.3,114.048,-56.639,2547.351
1.314,114.048,-56.64,2546.738
1.329,114.048,-56.64,2546.625
1.343,114.048,-56.64,2546.625
1.358,114.048,-56.64,2547.103
1.372,114.048,-56.641,2547.315
1.387,114.048,-56.641,2543.941
1.401,114.048,-56.641,2539.603
1.415,114.048,-56.641,2535.929
1.43,114.048,-56.642,2532.459
1.444,114.049,-56.642,2532.459
1.459,114.049,-56.642,2530.784
1.473,114.049,-56.642,2527.565
1.488,114.049,-56.642,2531.759
1.502,114.049,-56.643,2533.982
1.517,114.049,-56.643,2535.386
1.531,114.049,-56.643,2534.713
1.545,114.049,-56.643,2534.855
1.56,114.049,-56.644,2535.597
1.574,114.049,-56.644,2534.882
1.589,114.049,-56.644,2536.5
1.603,114.049,-56.644,2536.5
1.618,114.049,-56.645,2533.173
1.632,114.049,-56.645,2532.585
1.647,114.049,-56.645,2532.865
1.661,114.049,-56.645,2536.656
1.675,114.049,-56.646,2536.284
1.69,114.049,-56.646,2534.365
1.704,114.049,-56.646,2535.634
1.719,114.049,-56.646,2537.253
1.733,114.05,-56.647,2536.11
1.748,114.05,-56.647,2536.11
1.762,114.05,-56.647,2530.873
1.777,114.05,-56.647,2529.978
1.791,114.05,-56.648,2524.667
1.805,114.05,-56.648,2523.018
1.82,114.05,-56.648,2523.102
1.834,114.05,-56.648,2527.333
1.849,114.05,-56.649,2533.487
1.863,114.05,-56.649,2538.088
1.878,114.05,-56.649,2536.523
1.892,114.05,-56.649,2534.154
1.907,114.05,-56.65,2534.154
1.921,114.05,-56.65,2535.492
1.935,114.05,-56.65,2537.463
1.95,114.05,-56.65,2536.417
1.964,114.05,-56.651,2536.194
1.979,114.05,-56.651,2535.117
1.993,114.05,-56.651,2534.099
2.008,114.05,-56.651,2538.317
2.022,114.05,-56.651,2541.544
2.037,114.051,-56.652,2542.757
2.051,114.051,-56.652,2542.757
2.065,114.051,-56.652,2543.918
2.08,114.051,-56.652,2545.822
2.094,114.051,-56.653,2547.915
2.109,114.051,-56.653,2550.722
2.123,114.051,-56.653,2553.992
2.138,114.051,-56.653,2556.586
2.152,114.051,-56.654,2558.846
2.167,114.051,-56.654,2557.777
2.181,114.051,-56.654,2564.038
2.195,114.051,-56.654,2567.093
2.21,114.051,-56.655,2567.093
2.224,114.051,-56.655,2567.099
2.239,114.051,-56.655,2567.406
2.253,114.051,-56.655,2565.957
2.268,114.051,-56.656,2563.682
2.282,114.051,-56.656,2562.472
2.297,114.051,-56.656,2559.405
2.311,114.051,-56.656,2564.115
2.325,114.051,-56.657,2564.407
2.34,114.052,-56.657,2564.691
2.354,114.052,-56.657,2564.691
2.369,114.052,-56.657,2565.35
2.383,114.052,-56.658,2564.903
2.398,114.052,-56.658,2564.956
2.412,114.052,-56.658,2564.779
2.427,114.052,-56.658,2564.779
2.441,114.052,-56.659,2565.141
2.455,114.052,-56.659,2566.802
2.47,114.052,-56.659,2565.854
2.484,114.052,-56.659,2564.591
2.499,114.052,-56.659,2564.102
2.513,114.052,-56.66,2564.102
2.528,114.052,-56.66,2563.227
2.542,114.052,-56.66,2563.06
2.557,114.052,-56.66,2562.629
2.571,114.052,-56.661,2561.428
2.585,114.052,-56.661,2560.494
2.6,114.052,-56.661,2558.318
2.614,114.052,-56.661,2556.468
2.629,114.052,-56.662,2555.348
2.643,114.053,-56.662,2554.21
2.658,114.053,-56.662,2551.651
2.672,114.053,-56.662,2553.179
2.687,114.053,-56.663,2550.069
2.701,114.053,-56.663,2548.234
2.715,114.053,-56.663,2546.346
2.73,114.053,-56.663,2547.644
2.744,114.053,-56.664,2541.743
2.759,114.053,-56.664,2539.563
2.773,114.053,-56.664,2537.29
2.788,114.053,-56.664,2538.266
2.802,114.053,-56.665,2531.327
2.817,114.053,-56.665,2531.327
2.831,114.053,-56.665,2531.327
2.845,114.053,-56.665,2531.327
2.86,114.053,-56.666,2527.391
2.874,114.053,-56.666,2525.45
2.889,114.053,-56.666,2522.583
2.903,114.053,-56.666,2519.527
2.918,114.053,-56.667,2518.022
2.932,114.053,-56.667,2515.708
2.947,114.054,-56.667,2514.354
2.961,114.054,-56.667,2510.734
2.975,114.054,-56.668,2507.098
2.99,114.054,-56.668,2507.098
3.004,114.054,-56.668,2502.539
3.019,114.054,-56.668,2500.817
3.033,114.054,-56.668,2497.091
3.048,114.054,-56.669,2491.804
3.062,114.054,-56.669,2488.941
0,114.044,-56.618,2735.785
0.014,114.044,-56.618,2733.477
0.029,114.044,-56.618,2732.708
0.043,114.044,-56.618,2732.988
0.058,114.044,-56.619,2731.688
0.072,114.044,-56.619,2729.628
0.087,114.045,-56.619,2715.599
0.101,114.045,-56.619,2697.195
0.116,114.045,-56.62,2679.135
0.13,114.045,-56.62,2679.135
0.144,114.045,-56.62,2646.391
0.159,114.045,-56.62,2634.574
0.173,114.045,-56.621,2627.899
0.188,114.045,-56.621,2623.104
0.202,114.045,-56.621,2618.021
0.217,114.045,-56.621,2618.021
0.231,114.045,-56.622,2615.02
0.246,114.045,-56.622,2618.676
0.26,114.045,-56.622,2623.605
0.274,114.045,-56.622,2629.614
0.289,114.045,-56.623,2635.519
0.303,114.045,-56.623,2639.266
0.318,114.045,-56.623,2640.534
0.332,114.045,-56.623,2640.088
0.347,114.045,-56.624,2639.21
0.361,114.045,-56.624,2639.21
0.376,114.045,-56.624,2638.569
0.39,114.045,-56.624,2638.285
0.404,114.046,-56.624,2642.522
0.419,114.046,-56.625,2647.51
0.433,114.046,-56.625,2652.281
0.448,114.046,-56.625,2656.978
0.462,114.046,-56.625,2659.997
0.477,114.046,-56.626,2661.724
0.491,114.046,-56.626,2662.016
0.505,114.046,-56.626,2656.129
0.52,114.046,-56.626,2656.314
0.534,114.046,-56.627,2651.62
0.549,114.046,-56.627,2651.62
0.563,114.046,-56.627,2643.929
0.578,114.046,-56.627,2638.765
0.592,114.046,-56.628,2632.407
0.607,114.046,-56.628,2628.078
0.621,114.046,-56.628,2622.551
0.635,114.046,-56.628,2622.551
0.65,114.046,-56.629,2615.612
0.664,114.046,-56.629,2615.612
0.679,114.046,-56.629,2615.62
0.693,114.046,-56.629,2617.401
0.708,114.047,-56.63,2618.306
0.722,114.047,-56.63,2619.673
0.737,114.047,-56.63,2617.269
0.751,114.047,-56.63,2618.792
0.765,114.047,-56.631,2622.499
0.78,114.047,-56.631,2622.473
0.794,114.047,-56.631,2620.871
0.809,114.047,-56.631,2615.898
0.823,114.047,-56.632,2615.898
0.838,114.047,-56.632,2609.426
0.852,114.047,-56.632,2605.494
0.867,114.047,-56.632,2598.637
0.881,114.047,-56.633,2592.378
0.895,114.047,-56.633,2588.194
0.91,114.047,-56.633,2582.955
0.924,114.047,-56.633,2577.632
0.939,114.047,-56.633,2571.773
0.953,114.047,-56.634,2564.856
0.968,114.047,-56.634,2566.149
0.982,114.047,-56.634,2560.844
0.997,114.047,-56.634,2556.83
1.011,114.048,-56.635,2551.842
1.025,114.048,-56.635,2546.532
1.04,114.048,-56.635,2542.668
1.054,114.048,-56.635,2543.628
1.069,114.048,-56.636,2546.852
1.083,114.048,-56.636,2548.67
1.098,114.048,-56.636,2549.49
1.112,114.048,-56.636,2548.329
1.127,114.048,-56.637,2548.329
1.141,114.048,-56.637,2548.282
1.155,114.048,-56.637,2548.055
1.17,114.048,-56.637,2544.185
1.184,114.048,-56.638,2541.503
1.199,114.048,-56.638,2538.101
1.213,114.048,-56.638,2540.52
1.228,114.048,-56.638,2545.435
1.242,114.048,-56.639,2548.579
1.256,114.048,-56.639,2548.634
1.271,114.048,-56.639,2548.162
1.285,114.048,-56.639,2548.162
1.3,114.048,-56.64,2547.724
1.314,114.048,-56.64,2547.38
1.329,114.049,-56.64,2546.724
1.343,114.049,-56.64,2547.103
1.358,114.049,-56.641,2547.315
1.372,114.049,-56.641,2543.941
1.386,114.049,-56.641,2539.603
1.401,114.049,-56.641,2535.929
1.415,114.049,-56.642,2532.459
1.43,114.049,-56.642,2532.459
1.444,114.049,-56.642,2530.784
1.459,114.049,-56.642,2530.682
1.473,114.049,-56.642,2533.537
1.488,114.049,-56.643,2533.982
1.502,114.049,-56.643,2535.386
1.516,114.049,-56.643,2535.73
1.531,114.049,-56.643,2535.597
1.545,114.049,-56.644,2535.944
1.56,114.049,-56.644,2538.129
1.574,114.049,-56.644,2536.5
1.589,114.049,-56.644,2536.5
1.603,114.049,-56.645,2536.15
1.618,114.049,-56.645,2536.589
1.632,114.05,-56.645,2535.343
1.646,114.05,-56.645,2536.656
1.661,114.05,-56.646,2536.284
1.675,114.05,-56.646,2534.365
1.69,114.05,-56.646,2535.634
1.704,114.05,-56.646,2537.253
1.719,114.05,-56.647,2536.11
1.733,114.05,-56.647,2536.11
1.748,114.05,-56.647,2530.873
1.762,114.05,-56.647,2529.978
1.776,114.05,-56.648,2528.13
1.791,114.05,-56.648,2528.278
1.805,114.05,-56.648,2527.384
1.82,114.05,-56.648,2529.97
1.834,114.05,-56.649,2535.571
1.849,114.05,-56.649,2539.032
1.863,114.05,-56.649,2540.693
1.878,114.05,-56.649,2539.262
1.892,114.05,-56.65,2539.262
1.906,114.05,-56.65,2539.227
1.921,114.05,-56.65,2541.249
1.935,114.051,-56.65,2541.249
1.95,114.051,-56.65,2539.056
1.964,114.051,-56.651,2536.577
1.979,114.051,-56.651,2536.492
1.993,114.051,-56.651,2538.317
2.007,114.051,-56.651,2541.544
2.022,114.051,-56.652,2542.757
2.036,114.051,-56.652,2542.757
2.051,114.051,-56.652,2543.918
2.065,114.051,-56.652,2545.822
2.08,114.051,-56.653,2547.915
2.094,114.051,-56.653,2550.722
2.109,114.051,-56.653,2558.247
2.123,114.051,-56.653,2560.759
2.137,114.051,-56.654,2562.113
2.152,114.051,-56.654,2564.152
2.166,114.051,-56.654,2566.887
2.181,114.051,-56.654,2568.26
2.195,114.051,-56.655,2568.26
2.21,114.051,-56.655,2567.789
2.224,114.051,-56.655,2568.385
2.239,114.052,-56.655,2566.786
2.253,114.052,-56.656,2566.786
2.267,114.052,-56.656,2564.531
2.282,114.052,-56.656,2563.559
2.296,114.052,-56.656,2564.115
2.311,114.052,-56.657,2564.407
2.325,114.052,-56.657,2564.691
2.34,114.052,-56.657,2564.691
2.354,114.052,-56.657,2565.35
2.369,114.052,-56.658,2564.903
2.383,114.052,-56.658,2564.956
2.397,114.052,-56.658,2564.779
2.412,114.052,-56.658,2564.779
2.426,114.052,-56.659,2564.904
2.441,114.052,-56.659,2566.802
2.455,114.052,-56.659,2566.802
2.47,114.052,-56.659,2564.591
2.484,114.052,-56.659,2564.102
2.499,114.052,-56.66,2564.102
2.513,114.052,-56.66,2563.227
2.527,114.052,-56.66,2563.06
2.542,114.052,-56.66,2563.06
2.556,114.053,-56.661,2561.428
2.571,114.053,-56.661,2560.494
2.585,114.053,-56.661,2558.318
2.6,114.053,-56.661,2556.468
2.614,114.053,-56.662,2555.348
2.629,114.053,-56.662,2554.21
2.643,114.053,-56.662,2551.651
2.657,114.053,-56.662,2553.179
2.672,114.053,-56.663,2550.069
2.686,114.053,-56.663,2548.234
2.701,114.053,-56.663,2546.346
2.715,114.053,-56.663,2547.644
2.73,114.053,-56.664,2541.743
2.744,114.053,-56.664,2545.706
2.758,114.053,-56.664,2541.232
2.773,114.053,-56.664,2540.14
2.787,114.053,-56.665,2537.788
2.802,114.053,-56.665,2534.81
2.816,114.053,-56.665,2534.81
2.831,114.053,-56.665,2533.144
2.845,114.053,-56.666,2531.012
2.86,114.054,-56.666,2528.734
2.874,114.054,-56.666,2527.46
2.888,114.054,-56.666,2524.734
2.903,114.054,-56.667,2520.83
2.917,114.054,-56.667,2515.708
2.932,114.054,-56.667,2514.354
2.946,114.054,-56.667,2510.734
2.961,114.054,-56.668,2507.098
2.975,114.054,-56.668,2507.098
2.99,114.054,-56.668,2502.539
3.004,114.054,-56.668,2500.817
3.018,114.054,-56.668,2497.091
3.033,114.054,-56.669,2491.804
3.047,114.054,-56.669,2488.941
0,114.043,-56.618,2734.926
0.014,114.043,-56.618,2731.823
0.029,114.043,-56.618,2731.962
0.043,114.043,-56.618,2730.942
0.058,114.043,-56.619,2730.942
0.072,114.043,-56.619,2728.492
0.087,114.043,-56.619,2695.545
0.101,114.043,-56.619,2696.936
0.116,114.043,-56.62,2679.345
0.13,114.043,-56.62,2661.316
0.144,114.043,-56.62,2646.254
0.159,114.043,-56.62,2625.468
0.173,114.043,-56.621,2618.882
0.188,114.043,-56.621,2619.032
0.202,114.043,-56.621,2619.032
0.217,114.043,-56.621,2615.766
0.231,114.043,-56.622,2616.06
0.245,114.043,-56.622,2620.955
0.26,114.043,-56.622,2626.728
0.274,114.044,-56.622,2632.758
0.289,114.044,-56.623,2639.415
0.303,114.044,-56.623,2643.922
0.318,114.044,-56.623,2643.959
0.332,114.044,-56.623,2643.959
0.347,114.044,-56.624,2640.648
0.361,114.044,-56.624,2642.567
0.375,114.044,-56.624,2640.125
0.39,114.044,-56.624,2641.087
0.404,114.044,-56.625,2645.444
