Distance (Km),Longitude,Latitude,HiRISE DTM Stamps (3) (mean)
2.527,89.774,-57.211,-395.156
2.542,89.774,-57.212,-397.718
2.556,89.774,-57.212,-399.599
2.571,89.774,-57.212,-400.31
2.585,89.774,-57.212,-400.125
2.6,89.774,-57.213,-399.741
2.614,89.774,-57.213,-399.348
2.628,89.774,-57.213,-402.665
2.643,89.774,-57.213,-402.141
2.657,89.774,-57.214,-401.267
2.672,89.774,-57.214,-399.602
2.686,89.774,-57.214,-397.504
2.701,89.774,-57.214,-395.086
2.715,89.774,-57.215,-392.157
2.73,89.774,-57.215,-388.682
2.744,89.774,-57.215,-384.268
2.758,89.774,-57.215,-379.368
2.773,89.774,-57.216,-375.331
2.787,89.774,-57.216,-374.069
2.802,89.774,-57.216,-368.42
2.816,89.774,-57.216,-362.682
2.831,89.774,-57.217,-356.338
2.845,89.774,-57.217,-350.279
2.859,89.774,-57.217,-346.432
2.874,89.774,-57.217,-341.826
2.888,89.774,-57.218,-341.826
2.903,89.774,-57.218,-335.924
2.917,89.774,-57.218,-333.64
2.932,89.774,-57.218,-330.969
2.946,89.774,-57.219,-330.969
2.961,89.774,-57.219,-328.753
2.975,89.774,-57.219,-327.795
2.989,89.774,-57.219,-327.12
3.004,89.774,-57.22,-326.453
3.018,89.774,-57.22,-325.766
3.033,89.774,-57.22,-326.211
3.047,89.774,-57.22,-327.59
3.062,89.774,-57.22,-328.131
3.076,89.775,-57.221,-328.866
3.091,89.775,-57.221,-328.866
3.105,89.775,-57.221,-330.015
3.119,89.775,-57.221,-331.317
3.134,89.775,-57.222,-332.799
3.148,89.775,-57.222,-333.502
3.163,89.775,-57.222,-334.762
3.177,89.775,-57.222,-336.433
3.192,89.775,-57.223,-337.885
3.206,89.775,-57.223,-340.116
3.221,89.775,-57.223,-342.512
3.235,89.775,-57.223,-344.898
3.249,89.775,-57.224,-344.898
3.264,89.775,-57.224,-347.336
0,89.77,-57.169,-230.045
0.014,89.77,-57.169,-231
0.029,89.77,-57.169,-231.93
0.043,89.77,-57.169,-232.872
