Distance (Km),Longitude,Latitude,HiRISE DTM Stamps (3) (mean)
0,89.772,-57.17,-227.545
0.014,89.772,-57.17,-229.518
0.029,89.772,-57.17,-230.405
0.043,89.772,-57.17,-231.535
0.058,89.772,-57.171,-231.239
0.072,89.772,-57.171,-233.301
0.087,89.772,-57.171,-233.122
0.101,89.772,-57.171,-235.36
0.115,89.772,-57.172,-234.08
0.13,89.772,-57.172,-239.967
0.144,89.772,-57.172,-255.251
0.159,89.772,-57.172,-271.766
0.173,89.772,-57.173,-284.762
0.188,89.772,-57.173,-298.009
0.202,89.772,-57.173,-312.503
0.217,89.772,-57.173,-326.856
0.231,89.772,-57.173,-341.648
0.245,89.772,-57.174,-356.915
0.26,89.772,-57.174,-371.176
0.274,89.772,-57.174,-370.528
0.289,89.772,-57.174,-371.176
0.303,89.772,-57.175,-385.442
0.318,89.773,-57.175,-388.481
0.332,89.773,-57.175,-390.104
0.346,89.773,-57.175,-390.8
0.361,89.773,-57.176,-391.763
0.375,89.773,-57.176,-392.72
0.39,89.773,-57.176,-393.258
0.404,89.773,-57.176,-392.903
0.419,89.773,-57.177,-395.146
0.433,89.773,-57.177,-395.146
0.448,89.773,-57.177,-397.312
0.462,89.773,-57.177,-399.285
0.476,89.773,-57.178,-401.039
0.491,89.773,-57.178,-403.157
0.505,89.773,-57.178,-404.215
0.52,89.773,-57.178,-405.998
0.534,89.773,-57.179,-407.524
0.549,89.773,-57.179,-409.132
0.563,89.773,-57.179,-410.445
0.577,89.773,-57.179,-410.445
0.592,89.773,-57.18,-411.447
0.606,89.773,-57.18,-414.51
0.621,89.773,-57.18,-418.347
0.635,89.773,-57.18,-420.395
0.65,89.773,-57.181,-422.938
0.664,89.773,-57.181,-424.804
0.679,89.773,-57.181,-424.909
0.693,89.773,-57.181,-427.725
0.707,89.773,-57.182,-429.165
0.722,89.773,-57.182,-429.606
0.736,89.773,-57.182,-429.606
0.751,89.773,-57.182,-429.965
0.765,89.773,-57.183,-429.632
0.78,89.773,-57.183,-429.883
0.794,89.773,-57.183,-429.883
0.808,89.773,-57.183,-430.837
0.823,89.773,-57.184,-432.494
0.837,89.773,-57.184,-433.99
0.852,89.773,-57.184,-437.767
0.866,89.773,-57.184,-440.768
