Distance (Km),Longitude,Latitude,HiRISE DTM Stamps (mean)
2.542,114.019,-56.662,2395.821
2.556,114.019,-56.662,2395.527
2.57,114.019,-56.662,2395.527
2.585,114.019,-56.662,2404.061
2.599,114.019,-56.663,2404.989
2.614,114.019,-56.663,2408.121
2.628,114.019,-56.663,2408.027
2.643,114.019,-56.663,2409.009
2.657,114.019,-56.664,2411.469
2.671,114.019,-56.664,2413.13
2.686,114.019,-56.664,2415.835
2.7,114.019,-56.664,2418.829
2.715,114.019,-56.665,2419.434
2.729,114.019,-56.665,2419.863
2.744,114.019,-56.665,2419.863
2.758,114.019,-56.665,2420.99
2.773,114.019,-56.666,2418.764
2.787,114.019,-56.666,2418.97
2.801,114.019,-56.666,2419.302
2.816,114.019,-56.666,2417.526
2.83,114.02,-56.667,2417.526
2.845,114.02,-56.667,2412.194
2.859,114.02,-56.667,2412.194
2.874,114.02,-56.667,2410.334
2.888,114.02,-56.668,2408.558
2.903,114.02,-56.668,2408.558
2.917,114.02,-56.668,2407.68
2.931,114.02,-56.668,2405.93
2.946,114.02,-56.669,2403.223
2.96,114.02,-56.669,2402.311
2.975,114.02,-56.669,2399.449
2.989,114.02,-56.669,2397.923
3.004,114.02,-56.67,2396.714
3.018,114.02,-56.67,2394.023
3.032,114.02,-56.67,2391.553
3.047,114.02,-56.67,2391.553
3.061,114.02,-56.67,2390.157
3.076,114.02,-56.671,2389.457
3.09,114.02,-56.671,2387.962
3.105,114.02,-56.671,2386.555
0,114.013,-56.619,2710.419
0.014,114.013,-56.619,2708.639
0.029,114.013,-56.619,2707.188
0.043,114.013,-56.619,2705.932
0.058,114.013,-56.62,2703.947
0.072,114.013,-56.62,2702.548
0.087,114.013,-56.62,2701.126
0.101,114.013,-56.62,2699.695
0.116,114.013,-56.621,2692.702
0.13,114.013,-56.621,2673.732
0.145,114.013,-56.621,2673.732
0.159,114.013,-56.621,2657.151
0.174,114.013,-56.622,2657.151
0.188,114.013,-56.622,2622.277
0.203,114.013,-56.622,2609.408
0.217,114.013,-56.622,2601.315
0.232,114.013,-56.623,2594.707
0.246,114.013,-56.623,2590.766
0.26,114.013,-56.623,2591.821
0.275,114.013,-56.623,2596.559
0.289,114.013,-56.624,2596.559
0.304,114.014,-56.624,2601.437
0.318,114.014,-56.624,2606.835
0.333,114.014,-56.624,2611.954
0.347,114.014,-56.625,2616.435
0.362,114.014,-56.625,2619.017
0.376,114.014,-56.625,2617.701
0.391,114.014,-56.625,2616.111
0.405,114.014,-56.626,2613.429
0.42,114.014,-56.626,2613.429
0.434,114.014,-56.626,2610.98
0.449,114.014,-56.626,2607.075
0.463,114.014,-56.627,2607.075
0.478,114.014,-56.627,2604.566
0.492,114.014,-56.627,2604.165
0.506,114.014,-56.627,2601.804
0.521,114.014,-56.628,2598.122
0.535,114.014,-56.628,2599.971
0.55,114.014,-56.628,2599.175
0.564,114.014,-56.628,2599.973
0.579,114.014,-56.629,2600.342
0.593,114.014,-56.629,2599.826
0.608,114.014,-56.629,2599.826
0.622,114.014,-56.629,2598.667
0.637,114.015,-56.629,2598.667
0.651,114.015,-56.63,2586.976
0.666,114.015,-56.63,2587.945
0.68,114.015,-56.63,2581.44
0.695,114.015,-56.63,2574.884
0.709,114.015,-56.631,2568.195
0.724,114.015,-56.631,2561.139
0.738,114.015,-56.631,2554.597
0.753,114.015,-56.631,2549.424
0.767,114.015,-56.632,2545.034
0.781,114.015,-56.632,2543.046
0.796,114.015,-56.632,2543.046
0.81,114.015,-56.632,2533.091
0.825,114.015,-56.633,2528.167
0.839,114.015,-56.633,2524.395
0.854,114.015,-56.633,2524.015
0.868,114.015,-56.633,2527.187
0.883,114.015,-56.634,2523.174
0.897,114.015,-56.634,2517.813
0.912,114.015,-56.634,2517.813
0.926,114.015,-56.634,2514.281
0.941,114.015,-56.635,2515.237
0.955,114.015,-56.635,2515.237
0.97,114.016,-56.635,2516.879
0.984,114.016,-56.635,2515.288
0.999,114.016,-56.636,2512.432
1.013,114.016,-56.636,2512.299
1.027,114.016,-56.636,2514.856
1.042,114.016,-56.636,2514.732
1.056,114.016,-56.637,2513.852
1.071,114.016,-56.637,2513.852
1.085,114.016,-56.637,2507.456
1.1,114.016,-56.637,2500.764
1.114,114.016,-56.638,2493.75
1.129,114.016,-56.638,2487.356
1.143,114.016,-56.638,2481.248
1.158,114.016,-56.638,2475.475
1.172,114.016,-56.638,2470.517
1.187,114.016,-56.639,2465.232
1.201,114.016,-56.639,2463.622
1.216,114.016,-56.639,2467.452
1.23,114.016,-56.639,2467.452
1.245,114.016,-56.64,2471.088
1.259,114.016,-56.64,2471.088
1.273,114.016,-56.64,2469.764
1.288,114.016,-56.64,2467.436
1.302,114.017,-56.641,2465.766
1.317,114.017,-56.641,2464.703
1.331,114.017,-56.641,2464.703
1.346,114.017,-56.641,2461.24
1.36,114.017,-56.642,2462.442
1.375,114.017,-56.642,2462.442
1.389,114.017,-56.642,2466.587
1.404,114.017,-56.642,2471.268
1.418,114.017,-56.643,2475.491
1.433,114.017,-56.643,2480.066
1.447,114.017,-56.643,2483.83
1.462,114.017,-56.643,2486.379
1.476,114.017,-56.644,2485.386
1.491,114.017,-56.644,2484.223
1.505,114.017,-56.644,2483.308
1.519,114.017,-56.644,2484.241
1.534,114.017,-56.645,2484.241
