Distance (Km),Longitude,Latitude,HiRISE DTM Stamps (mean)
2.541,114.009,-56.662,2413.107
2.555,114.009,-56.662,2415.039
2.57,114.009,-56.662,2417.877
2.584,114.01,-56.663,2417.877
2.599,114.01,-56.663,2420.309
2.613,114.01,-56.663,2421.855
2.628,114.01,-56.663,2424.446
2.642,114.01,-56.664,2425.087
2.657,114.01,-56.664,2425.545
2.671,114.01,-56.664,2424.285
2.685,114.01,-56.664,2423.965
2.7,114.01,-56.665,2423.52
2.714,114.01,-56.665,2422.097
2.729,114.01,-56.665,2422.097
2.743,114.01,-56.665,2420.759
2.758,114.01,-56.666,2418.251
2.772,114.01,-56.666,2416.155
2.786,114.01,-56.666,2415.383
2.801,114.01,-56.666,2413.049
2.815,114.01,-56.667,2410.247
2.83,114.01,-56.667,2410.247
2.844,114.01,-56.667,2408.35
2.859,114.01,-56.667,2408.014
2.873,114.01,-56.668,2407.044
2.888,114.01,-56.668,2407.044
2.902,114.01,-56.668,2406.709
2.916,114.011,-56.668,2404.762
2.931,114.011,-56.668,2403.813
2.945,114.011,-56.669,2402.237
2.96,114.011,-56.669,2400.488
2.974,114.011,-56.669,2399.067
2.989,114.011,-56.669,2395.855
3.003,114.011,-56.67,2394.102
3.017,114.011,-56.67,2391.965
3.032,114.011,-56.67,2391.527
3.046,114.011,-56.67,2389.975
3.061,114.011,-56.671,2388.477
3.075,114.011,-56.671,2386.394
3.09,114.011,-56.671,2384.266
3.104,114.011,-56.671,2382.513
3.119,114.011,-56.672,2381.376
0,114.002,-56.619,2707.768
0.014,114.002,-56.619,2706.162
0.029,114.002,-56.619,2704.586
0.043,114.002,-56.62,2702.975
0.058,114.002,-56.62,2701.278
0.072,114.002,-56.62,2699.871
0.087,114.002,-56.62,2698.267
0.101,114.002,-56.621,2696.68
0.116,114.002,-56.621,2694.86
0.13,114.002,-56.621,2693.421
0.145,114.002,-56.621,2693.531
0.159,114.002,-56.622,2691.723
0.174,114.002,-56.622,2690.353
0.188,114.002,-56.622,2688.713
0.203,114.002,-56.622,2687.269
0.217,114.002,-56.623,2679.999
0.232,114.002,-56.623,2679.999
0.246,114.002,-56.623,2645.358
0.26,114.002,-56.623,2628.265
0.275,114.002,-56.624,2611.747
0.289,114.002,-56.624,2611.747
0.304,114.002,-56.624,2594.577
0.318,114.002,-56.624,2583.83
0.333,114.003,-56.625,2579.413
0.347,114.003,-56.625,2579.413
0.362,114.003,-56.625,2584.387
0.376,114.003,-56.625,2589.387
0.391,114.003,-56.626,2595.109
