Distance (Km),Longitude,Latitude,HRSC MOLA Blended DEM (200m)
0,96.159,-57.106,975
0.119,96.16,-57.107,975
0.237,96.162,-57.109,975
0.356,96.164,-57.111,979
0.474,96.166,-57.113,985
0.593,96.167,-57.114,982
0.711,96.169,-57.116,978
0.83,96.171,-57.118,983
0.948,96.172,-57.12,988
1.067,96.174,-57.121,987
1.186,96.176,-57.123,987
1.304,96.178,-57.125,997
1.423,96.179,-57.127,1008
0,96.183,-57.1,968
0.123,96.184,-57.102,968
0.247,96.186,-57.104,971
0.37,96.188,-57.106,973
0.494,96.19,-57.108,973
0.617,96.191,-57.11,979
0.741,96.193,-57.112,983
0.864,96.195,-57.113,983
0.988,96.197,-57.115,996
1.111,96.199,-57.117,1009
1.235,96.2,-57.119,1003
