Distance (Km),Longitude,Latitude,HRSC MOLA Blended DEM (200m)
0,93.68,-58.093,1643
0.121,93.681,-58.095,1643
0.242,93.682,-58.097,1609
0.364,93.682,-58.099,1574
0.485,93.683,-58.101,1589
0.606,93.683,-58.103,1556
0.727,93.684,-58.105,1506
0.848,93.685,-58.107,1525
0.97,93.685,-58.109,1494
1.091,93.686,-58.111,1490
1.212,93.686,-58.113,1469
1.333,93.687,-58.115,1446
1.454,93.688,-58.117,1467
1.575,93.688,-58.119,1448
1.697,93.689,-58.121,1433
1.818,93.69,-58.123,1433
1.939,93.69,-58.125,1434
2.06,93.691,-58.127,1434
0,93.661,-58.096,1556
0.12,93.661,-58.098,1548
0.24,93.661,-58.1,1514
0.361,93.662,-58.102,1472
0.481,93.662,-58.104,1475
0.601,93.662,-58.106,1429
0.721,93.663,-58.108,1386
0.842,93.663,-58.11,1382
0.962,93.663,-58.112,1350
1.082,93.664,-58.114,1355
1.202,93.664,-58.116,1322
1.323,93.665,-58.118,1309
1.443,93.665,-58.12,1309
1.563,93.665,-58.122,1324
1.683,93.666,-58.124,1311
1.804,93.666,-58.126,1315
1.924,93.666,-58.128,1332
2.044,93.667,-58.13,1332
2.164,93.667,-58.132,1327
2.285,93.668,-58.134,1328
